spanish,english
de,of
la,the
que,that
en,in
y,and
a,to
los,the
se,HE
del,of the
un,a
con,with
por,by
su,his
para,for
es,is
al,to the
como,as
lo,it
más,further
fue,was
ha,ha
sus,their
este,this
pero,but
años,years
esta,this
también,also
entre,between
le,you
está,this
ya,already
han,they have
dos,two
sobre,about
desde,from
ser,be
son,are
hasta,until
muy,very
año,year
era,was
parte,part
tiene,has
personas,people
cuando,when
hay,there is
donde,where
dijo,said
después,after
porque,because
durante,during
puede,can
país,country
había,there was
todos,all
fueron,were
contra,against
primera,first
mismo,same
vez,time
millones,millions
están,are
nos,us
ciudad,city
ese,that
día,day
gran,great
sido,been
otros,others
tiempo,time
primer,first
nombre,name
solo,only
cada,each
tres,three
hace,does
forma,shape
hacer,do
lugar,place
días,days
así,So
e,and
presidente,president
pasado,past
vida,life
él,he
tras,after
Además,Besides
ante,in view of
eso,that
cuenta,account
mayor,elderly
caso,case
tanto,so much
hecho,made
ahora,now
horas,hours
menos,less
estos,these
otro,other
esa,that
cual,which
trabajo,job
antes,before
equipo,equipment
tener,have
nuevo,new
mejor,better
será,be
mundo,world
mucho,a lot
mientras,while
según,according to
ella,she
pueden,they can
Gobierno,Government
aunque,although
grupo,cluster
ni,neither
mi,my
tienen,have
estaba,was
partido,game
bajo,low
hoy,today
acuerdo,agreement
otras,others
hacia,toward
siglo,century
través,through
les,them
va,goes
encuentra,finds
estado,state
Nacional,National
qué,that
te,tea
siempre,always
situación,situation
algunos,some
esto,this
historia,history
mil,thousand
luego,then
final,final
número,number
tuvo,had
poder,can
ver,see
meses,months
nueva,new
ellos,they
debido,due
San,Saint
otra,other
algo,something
siendo,being
entonces,so
estar,be
todas,all
Estados,state
junto,together
poco,bit
unos,some
sea,be
general,general
población,population
largo,long
estas,are
medio,half
